Location Name,hour,median_pm25
"Divine healer's Church, Bethlehem",0,35.7
"Divine healer's Church, Bethlehem",1,34.75
"Divine healer's Church, Bethlehem",2,33.5
"Divine healer's Church, Bethlehem",3,32.5
"Divine healer's Church, Bethlehem",4,35.849999999999994
"Divine healer's Church, Bethlehem",5,41.6
"Divine healer's Church, Bethlehem",6,47.349999999999994
"Divine healer's Church, Bethlehem",7,37.9
"Divine healer's Church, Bethlehem",8,33.1
"Divine healer's Church, Bethlehem",9,32.3
"Divine healer's Church, Bethlehem",10,31.55
"Divine healer's Church, Bethlehem",11,29.5
"Divine healer's Church, Bethlehem",12,24.95
"Divine healer's Church, Bethlehem",13,23.25
"Divine healer's Church, Bethlehem",14,21.05
"Divine healer's Church, Bethlehem",15,21.0
"Divine healer's Church, Bethlehem",16,23.7
"Divine healer's Church, Bethlehem",17,29.6
"Divine healer's Church, Bethlehem",18,34.75
"Divine healer's Church, Bethlehem",19,36.75
"Divine healer's Church, Bethlehem",20,36.6
"Divine healer's Church, Bethlehem",21,38.6
"Divine healer's Church, Bethlehem",22,40.4
"Divine healer's Church, Bethlehem",23,37.8
Kpone Methodists School,0,19.6
Kpone Methodists School,1,20.6
Kpone Methodists School,2,23.15
Kpone Methodists School,3,29.3
Kpone Methodists School,4,30.5
Kpone Methodists School,5,32.95
Kpone Methodists School,6,36.400000000000006
Kpone Methodists School,7,32.150000000000006
Kpone Methodists School,8,24.75
Kpone Methodists School,9,23.1
Kpone Methodists School,10,20.9
Kpone Methodists School,11,13.9
Kpone Methodists School,12,11.6
Kpone Methodists School,13,9.6
Kpone Methodists School,14,11.6
Kpone Methodists School,15,9.75
Kpone Methodists School,16,11.4
Kpone Methodists School,17,16.3
Kpone Methodists School,18,21.7
Kpone Methodists School,19,17.5
Kpone Methodists School,20,14.6
Kpone Methodists School,21,14.7
Kpone Methodists School,22,15.75
Kpone Methodists School,23,19.9
"Satet International School, Tema Manhean",0,27.6
"Satet International School, Tema Manhean",1,25.9
"Satet International School, Tema Manhean",2,32.650000000000006
"Satet International School, Tema Manhean",3,42.95
"Satet International School, Tema Manhean",4,55.9
"Satet International School, Tema Manhean",5,69.6
"Satet International School, Tema Manhean",6,68.6
"Satet International School, Tema Manhean",7,44.900000000000006
"Satet International School, Tema Manhean",8,34.5
"Satet International School, Tema Manhean",9,30.5
"Satet International School, Tema Manhean",10,27.15
"Satet International School, Tema Manhean",11,23.9
