harmattan,hour,median_pm25,regime
False,0,15.3,Pre-Harmattan
False,1,15.95,Pre-Harmattan
False,2,18.25,Pre-Harmattan
False,3,21.55,Pre-Harmattan
False,4,25.8,Pre-Harmattan
False,5,33.5,Pre-Harmattan
False,6,36.3,Pre-Harmattan
False,7,30.3,Pre-Harmattan
False,8,24.3,Pre-Harmattan
False,9,21.9,Pre-Harmattan
False,10,17.2,Pre-Harmattan
False,11,12.7,Pre-Harmattan
False,12,10.1,Pre-Harmattan
False,13,8.7,Pre-Harmattan
False,14,8.2,Pre-Harmattan
False,15,9.149999999999999,Pre-Harmattan
False,16,9.3,Pre-Harmattan
False,17,12.5,Pre-Harmattan
False,18,16.6,Pre-Harmattan
False,19,14.4,Pre-Harmattan
False,20,12.9,Pre-Harmattan
False,21,12.9,Pre-Harmattan
False,22,14.6,Pre-Harmattan
False,23,15.649999999999999,Pre-Harmattan
True,0,31.7,Harmattan
True,1,32.2,Harmattan
True,2,34.1,Harmattan
True,3,36.8,Harmattan
True,4,39.7,Harmattan
True,5,43.4,Harmattan
True,6,49.7,Harmattan
True,7,45.0,Harmattan
True,8,36.8,Harmattan
True,9,33.05,Harmattan
True,10,30.75,Harmattan
True,11,29.2,Harmattan
True,12,25.9,Harmattan
True,13,23.75,Harmattan
True,14,22.4,Harmattan
True,15,23.4,Harmattan
True,16,23.3,Harmattan
True,17,26.5,Harmattan
True,18,29.15,Harmattan
True,19,28.95,Harmattan
True,20,28.1,Harmattan
True,21,29.0,Harmattan
True,22,29.95,Harmattan
True,23,30.9,Harmattan
