column,missing_rate,missing_pct
NOX index,0.03569029224051058,3.57
TVOC index,0.03569029224051058,3.57
TVOC (ppb),0.03569029224051058,3.57
Location Name,0.0,0.0
Local Date/Time,0.0,0.0
PM2.5 (μg/m³) raw,0.0,0.0
UTC Date/Time,0.0,0.0
# of aggregated records,0.0,0.0
Place Open,0.0,0.0
PM10 (μg/m³),0.0,0.0
PM1 (μg/m³),0.0,0.0
PM2.5 (μg/m³) corrected,0.0,0.0
0.3μm particle count,0.0,0.0
Humidity (%) corrected,0.0,0.0
Temperature (°C) corrected,0.0,0.0
CO2 (ppm) corrected,0.0,0.0
Heat Index (°C),0.0,0.0
