source_file,pipeline,horizon,model,n_test,n_bootstrap,block_len,mae_point,mae_lower95,mae_upper95,rmse_point,rmse_lower95,rmse_upper95,mae_top_decile_point,mae_top_decile_lower95,mae_top_decile_upper95
deep_h168_lstm.csv,deep,h168,lstm,2782,1000,168,13.036507579039363,11.919049381924824,14.051243990692923,18.79756077190972,16.681799274293745,20.906777736039054,33.973375634907825,28.07826187055171,39.3902507936403
deep_h168_lstm_mha.csv,deep,h168,lstm_mha,2782,1000,168,23.861208777215886,21.568438827217037,26.54206442947899,30.398309075068706,27.669283295637705,33.11444834271752,62.561073925760056,56.15404096515997,69.35940486835611
deep_h24_lstm.csv,deep,h24,lstm,3807,1000,168,23.191793694949336,19.920214728875923,27.07633159650949,30.24303271302153,26.716441097240534,34.00373853145252,53.3571686584561,44.43933696049555,64.10228300521412
deep_h24_lstm_mha.csv,deep,h24,lstm_mha,3807,1000,168,19.12255766598343,17.848477195209814,20.50697028855704,25.009149606752032,23.12214626430985,27.155134446342466,48.11421267945729,42.09713117669715,55.242169336986066
deep_h336_lstm.csv,deep,h336,lstm,1557,1000,168,14.31495267945218,12.70184254153424,15.723316814180514,21.41103884041727,18.436359396627747,23.842979714338494,43.51092786055345,36.40680246713026,49.72941238105677
deep_h336_lstm_mha.csv,deep,h336,lstm_mha,1557,1000,168,15.108852317261253,13.36517491571476,17.057617566406762,22.086970630779838,19.09712267701631,24.575229358820224,43.78268951024764,36.55228014691469,50.6720897325285
deep_h672_lstm.csv,deep,h672,lstm,2507,1000,168,14.227721251003477,12.23633799977663,16.36114525231865,21.164893065266536,18.48546370556538,23.98281046928181,47.24947382911803,41.40218109025875,54.01450206875869
deep_h672_lstm_mha.csv,deep,h672,lstm_mha,2507,1000,168,13.574111753409728,12.040063294971613,15.627078934619519,20.645718540671417,18.20208085060971,23.58428840480744,46.08461006104,40.599671992423794,53.33861435153094
deep_mh_h168_mh_lstm.csv,deep,h168,mh_lstm,1957,1000,168,15.018171507056172,12.754150099588646,16.593787103321823,21.552648534195008,18.248727445426503,23.38017775955306,42.41739369883682,34.22314775515355,46.83537919618769
deep_mh_h168_mh_lstm_mha.csv,deep,h168,mh_lstm_mha,1957,1000,168,11.320641884830573,9.683141136081108,12.922221316978161,17.94203483589588,14.655509815781905,20.132068969916137,33.44518621521767,24.6527075685894,38.62205005458423
deep_mh_h24_mh_lstm.csv,deep,h24,mh_lstm,1957,1000,168,12.314267803347105,9.990701159766333,14.585804478849264,19.229098295311335,15.625518747035757,22.961961949608966,39.60653434792146,31.507059937781882,49.6716452349151
deep_mh_h24_mh_lstm_mha.csv,deep,h24,mh_lstm_mha,1957,1000,168,12.944830288372907,10.656481226524894,14.86552657378408,18.299591156571385,14.737182055398788,21.616154592302102,28.949763225419872,20.652336459561653,38.990310039325635
deep_mh_h336_mh_lstm.csv,deep,h336,mh_lstm,1957,1000,168,16.57764462140609,14.72416843510612,18.445693631454215,22.003144692065675,19.206434707286846,24.56091525015562,40.83848489480575,33.60856624609687,48.05895254325338
deep_mh_h336_mh_lstm_mha.csv,deep,h336,mh_lstm_mha,1957,1000,168,9.778585240861622,8.687237147058708,10.7959697041849,16.579998671211822,13.657387338590436,19.506037503364254,33.35344960362778,25.581349498970884,41.357918235614214
deep_mh_h672_mh_lstm.csv,deep,h672,mh_lstm,1957,1000,168,14.924237760281649,13.4102377879845,16.75964283245555,21.37132363379639,18.84399982274613,23.780926117656943,39.61138404807463,32.45916811057499,47.284208980502456
deep_mh_h672_mh_lstm_mha.csv,deep,h672,mh_lstm_mha,1957,1000,168,13.563320740547239,11.246078451153693,16.349676366583633,19.983173572041345,16.835368165317032,23.530237729431143,32.1703379093693,25.532791934939084,39.67732262520497
tabular_h168_linear_svr.csv,tabular,h168,linear_svr,4037,1000,168,37.20903906087681,35.1782351279049,39.25355808792792,41.14385835835798,39.42230091173825,42.98956972600898,69.48284806175523,64.30781448424513,74.96123468236445
tabular_h168_naive_level.csv,tabular,h168,naive_level,4037,1000,168,14.659898414271558,13.483119581372305,15.952190619146334,21.751519952187852,19.610215308490858,24.250781245357686,32.644581280788174,27.983447894820273,37.86314623374102
tabular_h168_rf.csv,tabular,h168,rf,4037,1000,168,19.075284066800435,15.82929709888946,22.5510677212027,24.28567775904115,21.059595249938543,27.491361227890284,22.925072242510804,18.657586905285253,27.568713869162554
tabular_h168_ridge.csv,tabular,h168,ridge,4037,1000,168,63.276552933440314,60.25828425988385,66.21284438698677,65.97958028702271,63.329647532579465,68.59670055661326,92.97191163882522,87.98328268442799,97.89899433328175
tabular_h168_ridge_ar_lag_fourier.csv,tabular,h168,ridge_ar_lag_fourier,4037,1000,168,98.13785835016827,95.98974163221449,100.33614500481086,99.73240029009527,97.7754992070993,101.83942150778219,129.42781804153228,124.5595713308556,134.51884203053694
tabular_h168_seasonal_naive_168h.csv,tabular,h168,seasonal_naive_168h,4037,1000,168,15.385008703900121,13.395535097900842,17.234077950065004,22.738087286156105,19.929525806961607,25.6223072668401,32.0396212509613,28.237045015429853,35.993753479349195
tabular_h168_seasonal_naive_24h.csv,tabular,h168,seasonal_naive_24h,4037,1000,168,14.587057475779,13.332024440966862,15.640658004298935,21.458337175626333,19.6320635309826,23.32896209017427,31.896650124069485,27.721309488245623,36.57632448357448
tabular_h168_seasonal_naive_336h.csv,tabular,h168,seasonal_naive_336h,4037,1000,168,17.48754648384197,15.917581984506628,18.928453094743528,24.90547394037121,22.327294568502307,27.3137201623814,37.27994652406417,32.083468101777605,42.62864575075313
tabular_h168_seasonal_naive_672h.csv,tabular,h168,seasonal_naive_672h,4037,1000,168,16.909146219182883,15.484110212792944,18.213217154156535,24.728703617988415,21.642651989020685,27.82077753377584,37.51310160427808,33.02356120497174,42.61788927988576
