horizon,model,label,mae_overall,mae_pre_harmattan,mae_harmattan,n_pre_harmattan,n_harmattan,n_test,test_start
h168,lstm,LSTM (per-horizon direct),19.41111183166504,10.334763689023893,20.41275143824373,1106.0,10022.0,11128.0,2025-11-23 23:00:00
h168,lstm_mha,LSTM + attention (per-horizon),21.789203643798828,9.564856570193824,23.13824846188576,1106.0,10022.0,11128.0,2025-11-23 23:00:00
h168,mh_lstm,Joint multi-horizon LSTM (mh_lstm),15.440018653869627,11.647388142591028,17.661168776682995,3730.0,6369.0,10099.0,2025-11-23 23:00:00
h168,mh_lstm_mha,Joint multi-horizon LSTM + attention (mh_lstm_mha),33.14678955078125,20.531151956836656,40.53512804883943,3730.0,6369.0,10099.0,2025-11-23 23:00:00
h24,lstm,LSTM (per-horizon direct),30.735809326171875,18.64886956605887,32.072651920889946,1183.0,10696.0,11879.0,2025-11-23 23:00:00
h24,lstm_mha,LSTM + attention (per-horizon),30.845582962036133,17.56382704516739,32.31457287042042,1183.0,10696.0,11879.0,2025-11-23 23:00:00
h24,mh_lstm,Joint multi-horizon LSTM (mh_lstm),14.352416038513184,11.598524337199644,16.786277284864124,4738.0,5361.0,10099.0,2025-11-23 23:00:00
h24,mh_lstm_mha,Joint multi-horizon LSTM + attention (mh_lstm_mha),13.263111114501951,13.157096562500604,13.356804913403582,4738.0,5361.0,10099.0,2025-11-23 23:00:00
h336,lstm,LSTM (per-horizon direct),18.059083938598636,9.410320529147718,18.915951357733142,845.0,8529.0,9374.0,2025-11-23 23:00:00
h336,lstm_mha,LSTM + attention (per-horizon),17.564252853393555,10.05144975989528,18.308575924011144,845.0,8529.0,9374.0,2025-11-23 23:00:00
h336,mh_lstm,Joint multi-horizon LSTM (mh_lstm),17.37455177307129,11.484191165076917,19.448677129575664,2630.0,7469.0,10099.0,2025-11-23 23:00:00
h336,mh_lstm_mha,Joint multi-horizon LSTM + attention (mh_lstm_mha),20.65024948120117,12.394025487988168,23.55744921760493,2630.0,7469.0,10099.0,2025-11-23 23:00:00
h672,mh_lstm,Joint multi-horizon LSTM (mh_lstm),16.94207000732422,9.778418245623188,17.668671777586678,930.0,9169.0,10099.0,2025-11-23 23:00:00
h672,mh_lstm_mha,Joint multi-horizon LSTM + attention (mh_lstm_mha),18.713951110839844,10.600606457905103,19.536877383945527,930.0,9169.0,10099.0,2025-11-23 23:00:00
