family,horizon,model,site,n,q_pool,n90_pool,mae90_pool_thr,q_site,n90_site,mae90_site_thr
tabular,h24,rf,"Divine healer's Church, Bethlehem",673,59.6,104,22.67,65.1,69,30.58
tabular,h24,rf,"Satet International School, Tema Manhean",673,59.6,107,24.73,69.6,69,32.49
tabular,h24,rf,Tema Community 25 Estate,673,59.6,13,35.33,43.3,70,12.61
tabular,h24,rf,Tema Community 3 SSNIT Flat,672,59.6,64,35.69,58.4,68,34.05
tabular,h24,rf,"Tema Community 7, Royal School",673,59.6,68,28.71,59.7,68,28.71
tabular,h24,rf,Tema Port,673,59.6,50,25.57,56.0,68,21.74
tabular,h24,ridge,"Divine healer's Church, Bethlehem",673,59.6,104,29.99,65.1,69,38.27
tabular,h24,ridge,"Satet International School, Tema Manhean",673,59.6,107,34.22,69.6,69,44.72
tabular,h24,ridge,Tema Community 25 Estate,673,59.6,13,48.79,43.3,70,26.13
tabular,h24,ridge,Tema Community 3 SSNIT Flat,672,59.6,64,45.95,58.4,68,44.53
tabular,h24,ridge,"Tema Community 7, Royal School",673,59.6,68,35.43,59.7,68,35.43
tabular,h24,ridge,Tema Port,673,59.6,50,34.18,56.0,68,30.69
tabular,h168,rf,"Divine healer's Church, Bethlehem",673,59.6,104,19.15,65.1,69,25.27
tabular,h168,rf,"Satet International School, Tema Manhean",673,59.6,107,23.88,69.6,69,30.84
tabular,h168,rf,Tema Community 25 Estate,673,59.6,13,27.02,43.3,70,11.7
tabular,h168,rf,Tema Community 3 SSNIT Flat,672,59.6,64,28.97,58.4,68,27.74
tabular,h168,rf,"Tema Community 7, Royal School",673,59.6,68,21.92,59.7,68,21.92
tabular,h168,rf,Tema Port,673,59.6,50,21.3,56.0,68,18.53
tabular,h336,rf,"Divine healer's Church, Bethlehem",673,59.6,104,22.61,65.1,69,28.9
tabular,h336,rf,"Satet International School, Tema Manhean",673,59.6,107,27.31,69.6,69,35.71
tabular,h336,rf,Tema Community 25 Estate,673,59.6,13,19.62,43.3,70,12.73
tabular,h336,rf,Tema Community 3 SSNIT Flat,672,59.6,64,29.51,58.4,68,28.01
tabular,h336,rf,"Tema Community 7, Royal School",673,59.6,68,19.83,59.7,68,19.83
tabular,h336,rf,Tema Port,673,59.6,50,20.8,56.0,68,18.23
tabular,h672,rf,"Divine healer's Church, Bethlehem",673,59.6,104,22.28,65.1,69,29.55
tabular,h672,rf,"Satet International School, Tema Manhean",673,59.6,107,28.07,69.6,69,33.36
tabular,h672,rf,Tema Community 25 Estate,673,59.6,13,32.17,43.3,70,16.74
tabular,h672,rf,Tema Community 3 SSNIT Flat,672,59.6,64,39.36,58.4,68,38.23
tabular,h672,rf,"Tema Community 7, Royal School",673,59.6,68,25.27,59.7,68,25.27
tabular,h672,rf,Tema Port,673,59.6,50,26.23,56.0,68,23.32
joint,h24,mha,"Divine healer's Church, Bethlehem",151,53.6,34,26.13,67.9,16,43.17
joint,h24,mha,"Satet International School, Tema Manhean",140,53.6,24,47.34,68.7,14,70.91
joint,h24,mha,Tema Community 25 Estate,231,53.6,6,36.58,31.8,24,20.33
joint,h24,mha,Tema Community 3 SSNIT Flat,672,53.6,58,33.35,51.2,68,29.89
joint,h24,mha,"Tema Community 7, Royal School",673,53.6,74,20.25,53.8,69,21.16
joint,h24,mha,Tema Port,90,53.6,1,26.27,35.9,9,8.18
joint,h168,mha,"Divine healer's Church, Bethlehem",151,55.0,37,35.34,69.6,16,64.24
joint,h168,mha,"Satet International School, Tema Manhean",140,55.0,29,29.37,68.0,14,42.82
joint,h168,mha,Tema Community 25 Estate,231,55.0,5,36.07,39.9,24,19.05
joint,h168,mha,Tema Community 3 SSNIT Flat,672,55.0,53,40.99,52.7,68,34.48
joint,h168,mha,"Tema Community 7, Royal School",673,55.0,67,27.94,54.5,68,27.66
joint,h168,mha,Tema Port,90,55.0,7,34.06,51.8,9,28.5
joint,h336,mha,"Divine healer's Church, Bethlehem",151,57.3,31,22.87,64.2,17,34.5
joint,h336,mha,"Satet International School, Tema Manhean",140,57.3,30,39.52,78.4,14,63.32
joint,h336,mha,Tema Community 25 Estate,231,57.3,2,42.61,42.3,24,19.83
joint,h336,mha,Tema Community 3 SSNIT Flat,672,57.3,64,40.29,56.8,68,38.78
joint,h336,mha,"Tema Community 7, Royal School",673,57.3,63,28.45,56.6,68,27.15
joint,h336,mha,Tema Port,90,57.3,7,31.46,54.8,9,26.8
joint,h672,mha,"Divine healer's Church, Bethlehem",151,58.0,22,17.69,63.8,16,22.03
joint,h672,mha,"Satet International School, Tema Manhean",140,58.0,25,35.28,71.4,14,52.13
joint,h672,mha,Tema Community 25 Estate,231,58.0,0,,42.7,24,24.29
joint,h672,mha,Tema Community 3 SSNIT Flat,672,58.0,70,37.96,58.4,68,38.64
joint,h672,mha,"Tema Community 7, Royal School",673,58.0,71,30.69,59.7,68,31.87
joint,h672,mha,Tema Port,90,58.0,9,25.65,57.8,9,25.65
