file,pipeline,horizon,model,site,n,q_pool,n90_pool,mae90_pool_thr,q_site,n90_site,mae90_site_thr
deep_h168_lstm.csv,deep,h168,lstm,"Divine healer's Church, Bethlehem",346,59.39,53,29.313683059980285,67.9,36,37.79225805070665
deep_h168_lstm.csv,deep,h168,lstm,"Satet International School, Tema Manhean",377,59.39,49,35.243965732808014,64.7,39,42.08410326639811
deep_h168_lstm.csv,deep,h168,lstm,Tema Community 25 Estate,386,59.39,13,44.30274376502404,41.8,39,22.60952621851212
deep_h168_lstm.csv,deep,h168,lstm,Tema Community 3 SSNIT Flat,601,59.39,62,38.73559899483958,60.0,61,38.91343792149278
deep_h168_lstm.csv,deep,h168,lstm,"Tema Community 7, Royal School",673,59.39,69,31.58907127380371,59.66,68,31.9521507655873
deep_h168_lstm.csv,deep,h168,lstm,Tema Port,399,59.39,33,31.539501652573094,54.98,40,29.682801055908204
deep_h168_lstm_mha.csv,deep,h168,lstm_mha,"Divine healer's Church, Bethlehem",346,59.39,53,55.707161993350624,67.9,36,64.99419911702473
deep_h168_lstm_mha.csv,deep,h168,lstm_mha,"Satet International School, Tema Manhean",377,59.39,49,65.01884339780224,64.7,39,71.93455725449782
deep_h168_lstm_mha.csv,deep,h168,lstm_mha,Tema Community 25 Estate,386,59.39,13,68.36877700457207,41.8,39,49.17535122388448
deep_h168_lstm_mha.csv,deep,h168,lstm_mha,Tema Community 3 SSNIT Flat,601,59.39,62,68.16878164295227,60.0,61,68.37502629737385
deep_h168_lstm_mha.csv,deep,h168,lstm_mha,"Tema Community 7, Royal School",673,59.39,69,60.57916559862054,59.66,68,61.028662893702005
deep_h168_lstm_mha.csv,deep,h168,lstm_mha,Tema Port,399,59.39,33,61.239870421814196,54.98,40,58.73317792415619
deep_h24_lstm.csv,deep,h24,lstm,"Divine healer's Church, Bethlehem",658,59.9,100,43.32316998004913,65.1,67,51.12368931699155
deep_h24_lstm.csv,deep,h24,lstm,"Satet International School, Tema Manhean",673,59.9,106,59.13561536680977,69.6,69,71.02188412585984
deep_h24_lstm.csv,deep,h24,lstm,Tema Community 25 Estate,673,59.9,13,72.89353217700354,43.3,70,40.54194075678076
deep_h24_lstm.csv,deep,h24,lstm,Tema Community 3 SSNIT Flat,457,59.9,48,49.46716596931219,60.48,46,50.602638267952464
deep_h24_lstm.csv,deep,h24,lstm,"Tema Community 7, Royal School",673,59.9,67,57.82523964856988,59.66,68,57.460920205011085
deep_h24_lstm.csv,deep,h24,lstm,Tema Port,673,59.9,48,53.86281790335973,55.98,68,47.54820787731339
deep_h24_lstm_mha.csv,deep,h24,lstm_mha,"Divine healer's Church, Bethlehem",658,59.9,100,39.42969402313233,65.1,67,46.652593726542456
deep_h24_lstm_mha.csv,deep,h24,lstm_mha,"Satet International School, Tema Manhean",673,59.9,106,49.40864720434513,69.6,69,60.53785780892856
deep_h24_lstm_mha.csv,deep,h24,lstm_mha,Tema Community 25 Estate,673,59.9,13,67.33627638908533,43.3,70,39.71621173151902
deep_h24_lstm_mha.csv,deep,h24,lstm_mha,Tema Community 3 SSNIT Flat,457,59.9,48,49.25174174706141,60.48,46,50.13735412514728
deep_h24_lstm_mha.csv,deep,h24,lstm_mha,"Tema Community 7, Royal School",673,59.9,67,52.218890987225436,59.66,68,51.82320164231693
deep_h24_lstm_mha.csv,deep,h24,lstm_mha,Tema Port,673,59.9,48,51.27546551078558,55.98,68,45.98817462254973
deep_h336_lstm.csv,deep,h336,lstm,"Divine healer's Church, Bethlehem",53,57.78,5,30.964637756347656,53.78,6,26.393818537394207
deep_h336_lstm.csv,deep,h336,lstm,"Satet International School, Tema Manhean",53,57.78,5,48.74013061523438,56.66,6,41.92930793762207
deep_h336_lstm.csv,deep,h336,lstm,Tema Community 25 Estate,53,57.78,0,,38.68,6,23.297563870747883
deep_h336_lstm.csv,deep,h336,lstm,Tema Community 3 SSNIT Flat,672,57.78,71,46.65286356966261,58.37,68,47.70242225422579
deep_h336_lstm.csv,deep,h336,lstm,"Tema Community 7, Royal School",673,57.78,71,40.3067487797267,59.66,68,41.395214810090906
deep_h336_lstm.csv,deep,h336,lstm,Tema Port,53,57.78,4,53.76210689544678,53.44,6,43.25080553690592
deep_h336_lstm_mha.csv,deep,h336,lstm_mha,"Divine healer's Church, Bethlehem",53,57.78,5,24.188536071777342,53.78,6,20.548295338948567
deep_h336_lstm_mha.csv,deep,h336,lstm_mha,"Satet International School, Tema Manhean",53,57.78,5,43.30782470703125,56.66,6,36.40751202901205
deep_h336_lstm_mha.csv,deep,h336,lstm_mha,Tema Community 25 Estate,53,57.78,0,,38.68,6,25.717294851938885
deep_h336_lstm_mha.csv,deep,h336,lstm_mha,Tema Community 3 SSNIT Flat,672,57.78,71,48.609836766417594,58.37,68,49.67670263963587
deep_h336_lstm_mha.csv,deep,h336,lstm_mha,"Tema Community 7, Royal School",673,57.78,71,39.71115754355847,59.66,68,40.82703262216904
deep_h336_lstm_mha.csv,deep,h336,lstm_mha,Tema Port,53,57.78,4,55.456790924072266,53.44,6,46.39503447214762
deep_h672_lstm.csv,deep,h672,lstm,"Divine healer's Church, Bethlehem",389,60.3,59,39.9635078300864,64.04,39,45.4861983763866
deep_h672_lstm.csv,deep,h672,lstm,"Satet International School, Tema Manhean",240,60.3,46,48.244988317074984,71.92,24,62.62480107943217
deep_h672_lstm.csv,deep,h672,lstm,Tema Community 25 Estate,389,60.3,1,30.468677520751946,43.5,41,18.40595733828661
deep_h672_lstm.csv,deep,h672,lstm,Tema Community 3 SSNIT Flat,672,60.3,62,53.887134029019265,58.37,68,51.47474732118494
deep_h672_lstm.csv,deep,h672,lstm,"Tema Community 7, Royal School",673,60.3,67,49.330676576984466,59.66,68,49.00937433803783
deep_h672_lstm.csv,deep,h672,lstm,Tema Port,144,60.3,17,38.419097788193646,62.24,15,39.60810419718425
deep_h672_lstm_mha.csv,deep,h672,lstm_mha,"Divine healer's Church, Bethlehem",389,60.3,59,36.03836098363844,64.04,39,41.654253837389824
deep_h672_lstm_mha.csv,deep,h672,lstm_mha,"Satet International School, Tema Manhean",240,60.3,46,47.947078331657075,71.92,24,62.502541065216064
deep_h672_lstm_mha.csv,deep,h672,lstm_mha,Tema Community 25 Estate,389,60.3,1,31.962274551391598,43.5,41,21.962492175218536
deep_h672_lstm_mha.csv,deep,h672,lstm_mha,Tema Community 3 SSNIT Flat,672,60.3,62,54.46965663663803,58.37,68,52.1302497807671
deep_h672_lstm_mha.csv,deep,h672,lstm_mha,"Tema Community 7, Royal School",673,60.3,67,48.18411189406665,59.66,68,47.880291013156665
deep_h672_lstm_mha.csv,deep,h672,lstm_mha,Tema Port,144,60.3,17,37.88684418622185,62.24,15,39.03036282857259
deep_mh_h168_mh_lstm.csv,deep,h168,mh_lstm,"Divine healer's Church, Bethlehem",151,55.0,37,41.997872636124896,69.6,16,73.12067866325378
deep_mh_h168_mh_lstm.csv,deep,h168,mh_lstm,"Satet International School, Tema Manhean",140,55.0,29,39.32256803841427,68.04,14,50.60488755362375
deep_mh_h168_mh_lstm.csv,deep,h168,mh_lstm,Tema Community 25 Estate,231,55.0,5,40.123647117614745,39.9,24,29.191145539283752
deep_mh_h168_mh_lstm.csv,deep,h168,mh_lstm,Tema Community 3 SSNIT Flat,672,55.0,53,50.69303199480165,52.69,68,44.10826478284948
deep_mh_h168_mh_lstm.csv,deep,h168,mh_lstm,"Tema Community 7, Royal School",673,55.0,67,36.78256644063921,54.54,68,36.4646845144384
deep_mh_h168_mh_lstm.csv,deep,h168,mh_lstm,Tema Port,90,55.0,7,50.36961555480957,51.81,9,45.12521171569824
deep_mh_h168_mh_lstm_mha.csv,deep,h168,mh_lstm_mha,"Divine healer's Church, Bethlehem",151,55.0,37,35.344704705315664,69.6,16,64.23689556121826
deep_mh_h168_mh_lstm_mha.csv,deep,h168,mh_lstm_mha,"Satet International School, Tema Manhean",140,55.0,29,29.36781047952586,68.04,14,42.82134328569685
deep_mh_h168_mh_lstm_mha.csv,deep,h168,mh_lstm_mha,Tema Community 25 Estate,231,55.0,5,36.06592350006103,39.9,24,19.047555406888325
deep_mh_h168_mh_lstm_mha.csv,deep,h168,mh_lstm_mha,Tema Community 3 SSNIT Flat,672,55.0,53,40.9876451312371,52.69,68,34.47824960596421
deep_mh_h168_mh_lstm_mha.csv,deep,h168,mh_lstm_mha,"Tema Community 7, Royal School",673,55.0,67,27.93530956666861,54.54,68,27.664932194878073
deep_mh_h168_mh_lstm_mha.csv,deep,h168,mh_lstm_mha,Tema Port,90,55.0,7,34.05510602678571,51.81,9,28.502296871609158
deep_mh_h24_mh_lstm.csv,deep,h24,mh_lstm,"Divine healer's Church, Bethlehem",151,53.6,34,34.26271388109993,67.9,16,51.45997762680054
deep_mh_h24_mh_lstm.csv,deep,h24,mh_lstm,"Satet International School, Tema Manhean",140,53.6,24,59.26410230000814,68.71,14,83.02884565080915
deep_mh_h24_mh_lstm.csv,deep,h24,mh_lstm,Tema Community 25 Estate,231,53.6,6,45.91799386342367,31.8,24,22.794183254241943
deep_mh_h24_mh_lstm.csv,deep,h24,mh_lstm,Tema Community 3 SSNIT Flat,672,53.6,58,45.137589816389415,51.19,68,41.050171459422394
deep_mh_h24_mh_lstm.csv,deep,h24,mh_lstm,"Tema Community 7, Royal School",673,53.6,74,30.864815840850007,53.8,69,31.564695109491762
deep_mh_h24_mh_lstm.csv,deep,h24,mh_lstm,Tema Port,90,53.6,1,37.73199462890625,35.92,9,14.3172607421875
deep_mh_h24_mh_lstm_mha.csv,deep,h24,mh_lstm_mha,"Divine healer's Church, Bethlehem",151,53.6,34,26.12884723438936,67.9,16,43.172199010849
deep_mh_h24_mh_lstm_mha.csv,deep,h24,mh_lstm_mha,"Satet International School, Tema Manhean",140,53.6,24,47.34109322230021,68.71,14,70.90501267569405
deep_mh_h24_mh_lstm_mha.csv,deep,h24,mh_lstm_mha,Tema Community 25 Estate,231,53.6,6,36.57503573099772,31.8,24,20.332634329795837
deep_mh_h24_mh_lstm_mha.csv,deep,h24,mh_lstm_mha,Tema Community 3 SSNIT Flat,672,53.6,58,33.35222592847101,51.19,68,29.892245517057532
deep_mh_h24_mh_lstm_mha.csv,deep,h24,mh_lstm_mha,"Tema Community 7, Royal School",673,53.6,74,20.248489482982738,53.8,69,21.159924051036004
deep_mh_h24_mh_lstm_mha.csv,deep,h24,mh_lstm_mha,Tema Port,90,53.6,1,26.26877212524414,35.92,9,8.182690938313804
deep_mh_h336_mh_lstm.csv,deep,h336,mh_lstm,"Divine healer's Church, Bethlehem",151,57.3,31,28.943285049930697,64.2,17,42.58553897633272
deep_mh_h336_mh_lstm.csv,deep,h336,mh_lstm,"Satet International School, Tema Manhean",140,57.3,30,47.66142692565918,78.36,14,69.5961880002703
deep_mh_h336_mh_lstm.csv,deep,h336,mh_lstm,Tema Community 25 Estate,231,57.3,2,45.12751293182373,42.3,24,27.24079179763794
deep_mh_h336_mh_lstm.csv,deep,h336,mh_lstm,Tema Community 3 SSNIT Flat,672,57.3,64,48.25808036327362,56.77,68,46.546702216653266
deep_mh_h336_mh_lstm.csv,deep,h336,mh_lstm,"Tema Community 7, Royal School",673,57.3,63,35.10607380337186,56.56,68,33.86575073354385
deep_mh_h336_mh_lstm.csv,deep,h336,mh_lstm,Tema Port,90,57.3,7,46.806008747645784,54.79,9,40.9049858517117
deep_mh_h336_mh_lstm_mha.csv,deep,h336,mh_lstm_mha,"Divine healer's Church, Bethlehem",151,57.3,31,22.86539557672316,64.2,17,34.495844448313996
deep_mh_h336_mh_lstm_mha.csv,deep,h336,mh_lstm_mha,"Satet International School, Tema Manhean",140,57.3,30,39.51830240885417,78.36,14,63.31525175912039
deep_mh_h336_mh_lstm_mha.csv,deep,h336,mh_lstm_mha,Tema Community 25 Estate,231,57.3,2,42.611459732055664,42.3,24,19.83217128117879
deep_mh_h336_mh_lstm_mha.csv,deep,h336,mh_lstm_mha,Tema Community 3 SSNIT Flat,672,57.3,64,40.28719934821129,56.77,68,38.77536989660824
deep_mh_h336_mh_lstm_mha.csv,deep,h336,mh_lstm_mha,"Tema Community 7, Royal School",673,57.3,63,28.451070936899338,56.56,68,27.152114924262552
deep_mh_h336_mh_lstm_mha.csv,deep,h336,mh_lstm_mha,Tema Port,90,57.3,7,31.461727142333984,54.79,9,26.80217742919922
deep_mh_h672_mh_lstm.csv,deep,h672,mh_lstm,"Divine healer's Church, Bethlehem",151,58.0,22,22.69479898972945,63.8,16,26.329575896263123
deep_mh_h672_mh_lstm.csv,deep,h672,mh_lstm,"Satet International School, Tema Manhean",140,58.0,25,42.81661506652832,71.36,14,57.6591363634382
deep_mh_h672_mh_lstm.csv,deep,h672,mh_lstm,Tema Community 25 Estate,231,58.0,0,,42.7,24,20.65438199043274
deep_mh_h672_mh_lstm.csv,deep,h672,mh_lstm,Tema Community 3 SSNIT Flat,672,58.0,70,47.27661225455148,58.37,68,47.9051630637225
deep_mh_h672_mh_lstm.csv,deep,h672,mh_lstm,"Tema Community 7, Royal School",673,58.0,71,35.89316053793464,59.66,68,37.282099050634045
deep_mh_h672_mh_lstm.csv,deep,h672,mh_lstm,Tema Port,90,58.0,9,41.773827446831596,57.83,9,41.773827446831596
deep_mh_h672_mh_lstm_mha.csv,deep,h672,mh_lstm_mha,"Divine healer's Church, Bethlehem",151,58.0,22,17.686073650013316,63.8,16,22.032206058502197
deep_mh_h672_mh_lstm_mha.csv,deep,h672,mh_lstm_mha,"Satet International School, Tema Manhean",140,58.0,25,35.27585876464844,71.36,14,52.133955819266184
