pipeline,horizon,horizon_hours,model,mae,rmse,r2,mse,mae_top_decile,mse_top_decile,rmse_top_decile,keras_backend,file,seq_len,tmax,val_start,test_start,n_train,n_val,n_test,mae_pre_harmattan,rmse_pre_harmattan,r2_pre_harmattan,mae_harmattan,rmse_harmattan,r2_harmattan,note,mae_lower95,mae_upper95,rmse_lower95,rmse_upper95,mae_top_decile_lower95,mae_top_decile_upper95
deep,h24,24,mh_lstm,12.3142671585083,19.22909877623217,0.0282513499259948,369.75823974609375,39.60653305053711,,49.37722502897971,tensorflow,sequences_mh_h672_L1344.npz,1344.0,2026-02-15 23:00:00,2026-01-04 23:00:00,2026-01-18 23:00:00,1374.0,1285.0,1957.0,,,,,,,multi-horizon:sequences_mh_h672_L1344,9.990701159766331,14.585804478849264,15.625518747035755,22.96196194960897,31.50705993778188,49.6716452349151
deep,h24,24,mh_lstm_mha,12.944830894470217,18.299590993177365,0.1199266910552978,334.8750305175781,28.94976234436035,,40.13363297900839,tensorflow,sequences_mh_h672_L1344.npz,1344.0,2026-02-15 23:00:00,2026-01-04 23:00:00,2026-01-18 23:00:00,1374.0,1285.0,1957.0,,,,,,,multi-horizon:sequences_mh_h672_L1344,10.656481226524894,14.86552657378408,14.737182055398788,21.616154592302102,20.652336459561653,38.99031003932564
deep,h24,24,lstm_mha,19.12255859375,25.00914993690122,-0.603157639503479,625.4575805664062,48.11421203613281,,56.22878940376096,tensorflow,sequences_h24_L168.npz,168.0,2026-02-15 23:00:00,2026-01-04 23:00:00,2026-01-18 23:00:00,14379.0,1016.0,3807.0,,,,,,,,17.848477195209814,20.50697028855704,23.12214626430985,27.155134446342466,42.09713117669715,55.24216933698607
deep,h24,24,lstm,23.19179344177246,30.24303211007351,-1.3443856239318848,914.6409912109376,53.3571662902832,,63.32970174449644,tensorflow,sequences_h24_L168.npz,168.0,2026-02-15 23:00:00,2026-01-04 23:00:00,2026-01-18 23:00:00,14379.0,1016.0,3807.0,,,,,,,,19.920214728875923,27.07633159650949,26.716441097240534,34.00373853145252,44.43933696049555,64.10228300521412
tabular,h24,24,ridge_ar_lag_fourier,11.960368602918498,18.22157058012975,0.2101944224130986,332.02563440665,35.65078534356081,2093.5919172804324,45.755785615378,,,,,,,,,,,,,,,,,10.957729039706484,12.981594030077654,16.242330118671493,20.31912893987765,30.98624072174735,40.85597958976563
tabular,h24,24,naive_level,13.333089692765114,22.459198793445605,-0.1995828916858888,504.41561044350846,,,,,,,,,,,,,,,,,,,,11.485365460852329,15.021226531709164,19.162112865587265,25.705783883131037,28.117227951961866,41.84985738678034
tabular,h24,24,seasonal_naive_24h,13.75823835480674,21.93614307101437,-0.1443579973772655,481.1943728320119,,,,,,,,,,,,,,,,,,,,12.239596164306066,15.09712980173482,19.06187471657704,24.66308582984213,29.700863425925924,41.267217592592594
tabular,h24,24,rf,14.0904386269871,18.970143271320165,0.1439683876917312,359.86633573441367,27.040192697231877,1501.2539517212765,38.74601852734389,,,,,,,,,,,,,,,,,12.621120005463942,15.578213648365413,17.010465776481297,21.00126151940346,22.152455835926144,32.364927927072785
tabular,h24,24,seasonal_naive_168h,14.587057475779,21.458337175626333,-0.094413947190868,460.4602343428671,,,,,,,,,,,,,,,,,,,,13.332024440966862,15.640658004298936,19.6320635309826,23.32896209017427,27.721309488245623,36.57632448357448
tabular,h24,24,seasonal_naive_336h,15.6667079495621,23.43208508086689,-0.3011348583419164,549.0626112369849,,,,,,,,,,,,,,,,,,,,13.398774782109223,17.670182471940755,20.35883651992049,25.943554812286184,28.90324936332768,38.34218424687409
