pipeline_model,h24,h168,h336,h672
deep:lstm,23.19179344177246,13.036506652832031,14.314952850341797,14.22772216796875
deep:lstm_mha,19.12255859375,23.8612117767334,15.108851432800291,13.574110984802246
deep:mh_lstm,12.3142671585083,15.01817226409912,16.57764434814453,14.924238204956056
deep:mh_lstm_mha,12.944830894470217,11.32064151763916,9.77858543395996,13.56332015991211
tabular:linear_svr,20.10424572356336,37.20903906087681,14.520343036718677,23.47574674373092
tabular:naive_level,13.333089692765114,14.659898414271558,15.38500870390012,18.88084157821644
tabular:rf,14.0904386269871,19.075284066800435,19.64073212589288,15.617730389925738
tabular:ridge,25.242398977175416,63.27655293344032,50.00793884210548,24.287607274592123
tabular:ridge_ar_lag_fourier,11.960368602918498,98.13785835016829,15.39386319400417,15.480862084600927
tabular:seasonal_naive_168h,14.587057475779,15.38500870390012,17.48754648384197,16.909146219182883
tabular:seasonal_naive_24h,13.75823835480674,14.587057475779,15.6667079495621,18.987970272049107
tabular:seasonal_naive_336h,15.6667079495621,17.48754648384197,18.88084157821644,16.525136239782018
tabular:seasonal_naive_672h,18.987970272049107,16.909146219182883,16.525136239782018,17.9899863760218
tabular:xgboost,22.15789935291773,43.462794321280825,24.876628193395813,19.246938427161368
