horizon,model,mae_overall,rmse_overall,r2_overall,mae_pre_harmattan,rmse_pre_harmattan,r2_pre_harmattan,mae_harmattan,rmse_harmattan,r2_harmattan
h168,linear_svr,13.577764133217483,20.114128279594496,0.03360543948145678,8.862784331499252,15.385615239661822,0.2912845563339196,14.630944452529416,21.025534477067097,-0.04074200736529554
h168,rf,12.007159949740124,19.442535893698068,0.09706213749112602,8.55591645991924,15.773237256849663,0.25512425389198545,12.778060753876803,20.171150587586894,0.04212169185355297
h168,ridge,35.25260041798646,44.48073546619311,-3.726024455654281,12.19469384337647,17.351978662918555,0.09855305433035622,40.403021932000755,48.51005012735192,-4.540034152475741
h168,xgboost,12.885960456158326,19.877474485809756,0.05621199141804056,9.756241273010824,16.805367323444216,0.15445216742332535,13.58504269771168,20.500884207275426,0.010549253367966749
h24,linear_svr,14.610001467938782,22.340635832602082,-0.19218349318853445,9.773076347607802,16.837508964194573,0.21177269208821492,15.17484595212645,22.89719475590285,-0.2510355343064199
h24,rf,10.327400776283922,17.748629983806563,0.2475429480548743,7.886520047827185,15.366990243559922,0.3434415003368787,10.612440958161788,18.00622265181668,0.2263396830860609
h24,ridge,16.785743755848422,24.632796507371598,-0.44937072154226865,10.548200627448427,17.217566002535268,0.17578728523012832,17.514149042949157,25.357725939365306,-0.5343544486402838
h24,xgboost,10.90227266776027,18.03095004595883,0.22341452020243913,8.80796148326995,15.798969573538747,0.30600982461630244,11.146841291690288,18.273827445964212,0.20317284000859548
h336,linear_svr,33.736620488615436,40.68233304134344,-2.953336182196675,21.334718917649234,27.18765413734819,-0.9670998137424871,38.40798138934698,44.721733525927526,-3.7703942439759697
h336,rf,11.729667106928835,18.788840395173615,0.15675844549828677,9.852476061599553,16.70040848842052,0.25777237841223655,12.436739066996923,19.51762664358611,0.09140357160144663
h336,ridge,48.79711069015237,58.478793802316815,-7.168623097478779,34.81620027509372,39.455113273049214,-3.142757511060151,54.06322878468965,64.19906449502714,-8.830472948332726
h336,xgboost,13.382406792804598,20.12100910465747,0.03294414019998504,11.510140721652935,18.027661791802725,0.13510830264120444,14.087623688011963,20.855092173725684,-0.037388049072535345
h672,linear_svr,41.0208398199621,54.628272420067766,-6.12831657151038,17.324605627468873,22.162156121506452,-0.26206182508505704,60.85586480093858,71.21163038720772,-11.150630231862175
h672,rf,13.041851182072996,20.461932020485303,-0.00010436020493265197,10.8603966017095,18.703812667311258,0.10108857845495745,14.867846221828419,21.8249527754525,-0.14130986687238267
h672,ridge,63.08119364053183,77.7586075352527,-13.442720122846655,27.134844993015296,32.217363887988604,-1.6670835161794613,93.1702245644519,101.18664598473201,-23.532587012009113
h672,xgboost,14.437221385147279,21.256632896096193,-0.07929705068545556,12.246924478483866,19.45673113236777,0.02726091673861364,16.270617928518174,22.653560375663464,-0.2296170679709122
